Date,WTEQ.I-1 (in) ,SWE (cm)
10/1/15,0,0
10/2/15,0,0
10/3/15,0,0
10/4/15,0,0
10/5/15,0,0
10/6/15,0,0
10/7/15,0,0
10/8/15,0,0
10/9/15,0,0
10/10/15,0,0
10/11/15,0,0
10/12/15,0,0
10/13/15,0,0
10/14/15,0,0
10/15/15,0,0
10/16/15,0,0
10/17/15,0,0
10/18/15,0,0
10/19/15,0,0
10/20/15,0,0
10/21/15,0,0
10/22/15,0,0
10/23/15,0,0
10/24/15,0,0
10/25/15,0,0
10/26/15,0,0
10/27/15,0,0
10/28/15,0,0
10/29/15,0,0
10/30/15,0,0
10/31/15,0,0
11/1/15,0,0
11/2/15,0,0
11/3/15,1.1,2.794
11/4/15,1.1,2.794
11/5/15,1.1,2.794
11/6/15,1.1,2.794
11/7/15,1.1,2.794
11/8/15,1.1,2.794
11/9/15,1.1,2.794
11/10/15,1.2,3.048
11/11/15,1.2,3.048
11/12/15,1.3,3.302
11/13/15,1.3,3.302
11/14/15,1.3,3.302
11/15/15,1.3,3.302
11/16/15,1.4,3.556
11/17/15,1.5,3.81
11/18/15,1.6,4.064
11/19/15,1.6,4.064
11/20/15,1.5,3.81
11/21/15,1.4,3.556
11/22/15,1.3,3.302
11/23/15,1.3,3.302
11/24/15,1.3,3.302
11/25/15,1.7,4.318
11/26/15,1.9,4.826
11/27/15,1.9,4.826
11/28/15,1.9,4.826
11/29/15,1.9,4.826
11/30/15,1.9,4.826
12/1/15,2.1,5.334
12/2/15,2.3,5.842
12/3/15,2.3,5.842
12/4/15,2.4,6.096
12/5/15,2.4,6.096
12/6/15,2.4,6.096
12/7/15,2.4,6.096
12/8/15,2.4,6.096
12/9/15,2.5,6.35
12/10/15,2.5,6.35
12/11/15,2.4,6.096
12/12/15,2.6,6.604
12/13/15,2.8,7.112
12/14/15,3.3,8.382
12/15/15,3.4,8.636
12/16/15,3.4,8.636
12/17/15,3.6,9.144
12/18/15,3.7,9.398
12/19/15,3.7,9.398
12/20/15,3.7,9.398
12/21/15,3.8,9.652
12/22/15,4,10.16
12/23/15,4.2,10.668
12/24/15,4.3,10.922
12/25/15,4.7,11.938
12/26/15,4.8,12.192
12/27/15,5,12.7
12/28/15,5,12.7
12/29/15,5,12.7
12/30/15,5,12.7
12/31/15,5,12.7
1/1/16,5,12.7
1/2/16,5,12.7
1/3/16,5,12.7
1/4/16,5,12.7
1/5/16,5,12.7
