Date,SWE (mm),time,SWE_in
10/1/2015,0,10/27/2015 11:50,0.6158236
10/2/2015,0,10/27/2015 12:00,0.6849886
10/3/2015,0,10/27/2015 12:10,0.6850955
10/4/2015,0,10/27/2015 12:20,0.6768178
10/5/2015,0,10/27/2015 12:30,0.6810282
10/6/2015,0,10/27/2015 12:40,0.6789944
10/7/2015,0,10/27/2015 13:00,0.6400058
10/8/2015,0,10/27/2015 13:10,0.6748909
10/9/2015,0,10/27/2015 13:20,0.6809209
10/10/2015,0,10/27/2015 13:30,0.6709303
10/11/2015,0,10/27/2015 13:40,0.6749623
10/12/2015,0,10/27/2015 13:50,0.6728216
10/13/2015,0,10/27/2015 14:00,0.668861
10/14/2015,0,10/27/2015 14:10,0.6707877
10/15/2015,0,10/27/2015 14:20,0.6729286
10/16/2015,0,10/27/2015 14:30,0.6748909
10/17/2015,0,10/27/2015 14:40,0.6626525
10/18/2015,0,10/27/2015 14:50,0.6647578
10/19/2015,0,10/27/2015 15:00,0.6524835
10/20/2015,0,10/27/2015 15:10,0.6526974
10/21/2015,0,10/27/2015 15:20,0.6606903
10/22/2015,0,10/27/2015 15:30,0.6627596
10/23/2015,0,10/27/2015 15:40,0.6565508
10/24/2015,0,10/27/2015 15:50,0.6607258
10/25/2015,0,10/27/2015 16:00,0.6544815
10/26/2015,0,10/27/2015 16:10,0.6465244
10/27/2015,0,10/27/2015 16:20,0.648487
10/28/2015,0,10/27/2015 16:30,0.6402803
10/29/2015,0,10/27/2015 16:40,0.6465602
10/30/2015,0,10/27/2015 16:50,0.6302535
10/31/2015,0,10/27/2015 17:00,0.6464531
11/1/2015,0,10/27/2015 17:10,0.6464533
11/2/2015,0,10/27/2015 17:20,0.6402804
11/3/2015,27.94,10/27/2015 17:30,0.6261857
11/4/2015,27.94,10/27/2015 17:40,0.6261857
11/5/2015,27.94,10/27/2015 17:50,0.6262215
11/6/2015,27.94,10/27/2015 18:00,0.6321804
11/7/2015,27.94,10/27/2015 18:10,0.6181218
11/8/2015,27.94,10/27/2015 18:20,0.6261857
11/9/2015,27.94,10/27/2015 18:30,0.6262212
11/10/2015,30.48,10/27/2015 18:40,0.6200128
11/11/2015,30.48,10/27/2015 18:50,0.6282196
11/12/2015,33.02,10/27/2015 19:00,0.613947
11/13/2015,33.02,10/27/2015 19:10,0.6262572
11/14/2015,33.02,10/27/2015 19:20,0.6302892
11/15/2015,33.02,10/27/2015 19:30,0.62615
11/16/2015,35.56,10/27/2015 19:40,0.6362482
11/17/2015,38.1,10/27/2015 19:50,0.6242589
11/18/2015,40.64,10/27/2015 20:00,0.6281126
11/19/2015,40.64,10/27/2015 20:10,0.6242234
11/20/2015,38.1,10/27/2015 20:20,0.6282552
11/21/2015,35.56,10/27/2015 20:30,0.6321803
11/22/2015,33.02,10/27/2015 20:40,0.6201555
11/23/2015,33.02,10/27/2015 20:50,0.6302891
11/24/2015,33.02,10/27/2015 21:00,0.6342499
11/25/2015,43.18,10/27/2015 21:10,0.6302891
11/26/2015,48.26,10/27/2015 21:20,0.6240803
11/27/2015,48.26,10/27/2015 21:30,0.6262212
11/28/2015,48.26,10/27/2015 21:40,0.6363197
11/29/2015,48.26,10/27/2015 21:50,0.6464531
11/30/2015,48.26,10/27/2015 22:00,0.6302891
12/1/2015,53.34,10/27/2015 22:10,0.6424212
12/2/2015,58.42,10/27/2015 22:20,0.6383533
12/3/2015,58.42,10/27/2015 22:30,0.6220822
12/4/2015,60.96,10/27/2015 22:40,0.6342856
12/5/2015,60.96,10/27/2015 22:50,0.6261144
12/6/2015,60.96,10/27/2015 23:00,0.6322872
12/7/2015,60.96,10/27/2015 23:10,0.6160164
12/8/2015,60.96,10/27/2015 23:20,0.620084
12/9/2015,63.5,10/27/2015 23:30,0.6282552
12/10/2015,63.5,10/27/2015 23:40,0.6261142
12/11/2015,60.96,10/27/2015 23:50,0.6220822
12/12/2015,66.04,10/28/2015 0:00,0.6242235
12/13/2015,71.12,10/28/2015 0:10,0.6221179
12/14/2015,83.82,10/28/2015 0:20,0.6160522
12/15/2015,86.36,10/28/2015 0:30,0.6159454
12/16/2015,86.36,10/28/2015 0:40,0.6139827
12/17/2015,91.44,10/28/2015 0:50,0.6180861
12/18/2015,93.98,10/28/2015 1:00,0.6098437
12/19/2015,93.98,10/28/2015 1:10,0.5976408
12/20/2015,93.98,10/28/2015 1:20,0.5937517
12/21/2015,96.52,10/28/2015 1:30,0.5916464
12/22/2015,101.6,10/28/2015 1:40,0.5855449
12/23/2015,106.68,10/28/2015 1:50,0.5855092
12/24/2015,109.22,10/28/2015 2:00,0.5855805
12/25/2015,119.38,10/28/2015 2:10,0.5856161
12/26/2015,121.92,10/28/2015 2:20,0.5936447
12/27/2015,127,10/28/2015 2:30,0.5917179
12/28/2015,127,10/28/2015 2:40,0.5977479
12/29/2015,127,10/28/2015 2:50,0.6038849
12/30/2015,127,10/28/2015 3:00,0.6017441
12/31/2015,127,10/28/2015 3:10,0.6100222
1/1/2016,127,10/28/2015 3:20,0.617979
1/2/2016,127,10/28/2015 3:30,0.6180506
1/3/2016,127,10/28/2015 3:40,0.6221536
1/4/2016,127,10/28/2015 3:50,0.6159451
1/5/2016,127,10/28/2015 4:00,0.6037779
1/6/2016,134.62,10/28/2015 4:10,0.6120201
1/7/2016,134.62,10/28/2015 4:20,0.609915
1/8/2016,134.62,10/28/2015 4:30,0.6159808
